prompt,completion
"
My first question is about clothes ; what kind of clothes do we need to take with us ?,"My	c
first	c
question	c
is	c
about	c
clothes	c
;	c
what	c
kind	c
of	c
clothes	c
do	c
we	c
need	c
to	c
take	c
with	c
us	c
?	c
"
and How much money do we need to take ?,"and	i
How	i
much	c
money	c
do	c
we	c
need	c
to	c
take	c
?	c
"
Finally what kind of wheather is waiting for us ?,"Finally	c
what	c
kind	c
of	c
wheather	i
is	c
waiting	c
for	c
us	c
?	c
"
"Thank you for Every thing Your sincerely Osman Lausanne , the 20th of May 2000 Dear M. Smith , My name is Marie Bouchard , I come from Switzerland .","Thank	c
you	c
for	c
Every	i
thing	i
Your	i
sincerely	c
Osman	c
Lausanne	c
,	c
the	c
20th	c
of	c
May	c
2000	c
Dear	c
M.	c
Smith	c
,	c
My	c
name	c
is	c
Marie	c
Bouchard	c
,	c
I	c
come	c
from	c
Switzerland	c
.	c
"
"Two weeks ago , I spent a week in your fabulous city of London with my friend .","Two	c
weeks	c
ago	c
,	c
I	c
spent	c
a	c
week	c
in	c
your	c
fabulous	c
city	c
of	c
London	c
with	c
my	c
friend	c
.	c
"
"On Thursday , the 3rd of May 2000 , we went to your theatre to see \"" Over the rainbow \"" .","On	c
Thursday	c
,	c
the	c
3rd	c
of	c
May	c
2000	c
,	c
we	c
went	c
to	c
your	c
theatre	c
to	c
see	c
""\""""""	c
Over	c
the	c
rainbow	c
""\""""""	c
.	c
"
"Unfortunately , we were really disappointed about everything in the theatre .","Unfortunately	c
,	c
we	c
were	c
really	c
disappointed	c
about	c
everything	c
in	c
the	c
theatre	c
.	c
"
"Firstly , we got our tickets in your ticket office just one hour before the show .","Firstly	c
,	c
we	c
got	c
our	c
tickets	c
in	i
your	c
ticket	c
office	c
just	c
one	c
hour	c
before	c
the	c
show	c
.	c
"
"We thought , as usual we do in London theatre , we could have discounts as it 's written on your advertisement .","We	c
thought	c
,	c
as	c
usual	i
we	c
do	c
in	c
London	c
theatre	i
,	c
we	c
could	c
have	i
discounts	c
as	i
it	c
's	c
written	c
on	c
your	c
advertisement	c
.	c
"
"Surprisily , there were no discounds .","Surprisily	i
,	c
there	c
were	c
no	c
discounds	i
.	c
"
"Secondly , the show started at 20:15 instead of 19:30 , it 's a theatre but not a concert hall !","Secondly	c
,	c
the	c
show	c
started	c
at	c
20:15	c
instead	c
of	c
19:30	c
,	c
it	c
's	c
a	c
theatre	c
but	c
not	c
a	c
concert	c
hall	c
!	c
"
! ! !,"!	c
!	c
!	c
"
"Thirdly , we were astonished about the actors whose we know from others musical .","Thirdly	c
,	c
we	c
were	c
astonished	c
about	i
the	c
actors	c
whose	i
we	c
know	c
from	c
others	i
musical	i
.	c
"
Why did you not change the name of your advertisement ?,"Why	c
did	c
you	c
not	c
change	c
the	c
name	i
of	i
your	c
advertisement	c
?	c
"
"In the end , the restaurant was closed because you did n't have enough staffs , this evening !","In	c
the	c
end	c
,	c
the	c
restaurant	c
was	c
closed	c
because	c
you	c
did	c
n't	c
have	c
enough	c
staffs	i
,	c
this	i
evening	c
!	c
"
! Nothing was serious .,"!	c
Nothing	c
was	c
serious	c
.	c
"
"We really like London , the people , the night - life but this evening was really awful .","We	c
really	c
like	c
London	c
,	c
the	c
people	c
,	c
the	c
night	c
-	c
life	c
but	c
this	c
evening	c
was	c
really	c
awful	c
.	c
"
I sent to you a copie of our tickets .,"I	c
sent	i
to	c
you	c
a	c
copie	i
of	c
our	c
tickets	c
.	c
"
Would you pleased return our money back .,"Would	c
you	c
pleased	i
return	c
our	c
money	c
back	c
.	c
"
"In advance , thank you .","In	c
advance	c
,	c
thank	c
you	c
.	c
"
"I hope we are not the only people to be so upset , but it was the first and the last time that I came in your theatre .","I	c
hope	c
we	c
are	c
not	c
the	c
only	c
people	c
to	c
be	c
so	c
upset	c
,	c
but	c
it	c
was	c
the	c
first	c
and	c
the	c
last	c
time	c
that	c
I	c
came	i
in	i
your	c
theatre	c
.	c
"
"Sincerely yours Unfortunately , Pat was n't very good at keeping secrets .","Sincerely	c
yours	c
Unfortunately	c
,	c
Pat	c
was	c
n't	c
very	c
good	c
at	c
keeping	c
secrets	c
.	c
"
"When her best friend , Scala , asked her an idea to surprise her husband because she 's pregnant , Pat put her feets in the plate just before Scala 's husband got the surprise .","When	c
her	c
best	c
friend	c
,	c
Scala	c
,	c
asked	c
her	c
an	i
idea	c
to	c
surprise	c
her	c
husband	c
because	i
she	c
's	i
pregnant	c
,	c
Pat	c
put	c
her	c
feets	i
in	i
the	i
plate	i
just	c
before	c
Scala	c
's	c
husband	c
got	i
the	c
surprise	c
.	c
"
The problem is that Pat works in the Neubathin a little village .,"The	c
problem	c
is	c
that	c
Pat	c
works	c
in	c
the	c
Neubathin	c
a	c
little	c
village	c
.	c
"
She 's a secretary in an office .,"She	c
's	c
a	c
secretary	c
in	c
an	c
office	c
.	c
"
Everybody knows everybody .,"Everybody	c
knows	c
everybody	c
.	c
"
"Pat and Scala have been good friends for 10 years , their husband too .","Pat	c
and	c
Scala	c
have	c
been	c
good	c
friends	c
for	c
10	c
years	c
,	c
their	c
husband	i
too	c
.	c
"
"It was a Friday suny afternoon , Scala was really excited to tell her the new .","It	c
was	c
a	c
Friday	i
suny	i
afternoon	c
,	c
Scala	c
was	c
really	c
excited	c
to	i
tell	i
her	c
the	c
new	i
.	c
"
Despite she knew that Pat could n't keep secret but for this time she was confident maybe too .,"Despite	c
she	i
knew	c
that	c
Pat	c
could	c
n't	c
keep	c
secret	i
but	c
for	c
this	c
time	c
she	c
was	c
confident	c
maybe	i
too	i
.	c
"
"Just after Scala told her the new , Pat phoned her mother who worked in a bakery , to tell that Scala is pregnant .","Just	c
after	c
Scala	c
told	c
her	c
the	c
new	i
,	c
Pat	c
phoned	c
her	c
mother	c
who	c
worked	c
in	c
a	c
bakery	c
,	c
to	c
tell	c
that	i
Scala	c
is	i
pregnant	c
.	c
"
"As usual , Jon , Scala 's husband came & bought the bread for the evening .","As	c
usual	c
,	c
Jon	c
,	c
Scala	c
's	c
husband	c
came	c
&	c
bought	c
the	c
bread	c
for	c
the	c
evening	c
.	c
"
"Pat 's mum was so excited about the baby , she just said \"" Congratulations for the new baby .","Pat	c
's	c
mum	c
was	c
so	c
excited	c
about	c
the	c
baby	c
,	c
she	c
just	c
said	c
""\""""""	c
Congratulations	c
for	i
the	c
new	c
baby	c
.	c
"
"\"" He was so amazed and asked to repeat .","""\""""""	c
He	c
was	c
so	c
amazed	c
and	c
asked	c
to	i
repeat	c
.	c
"
"She just thought it would be a secret , she came really embarassed .","She	c
just	c
thought	i
it	c
would	i
be	i
a	c
secret	c
,	c
she	i
came	i
really	c
embarassed	i
.	c
"
"When he went back to his house , his wife gave him the box with the shoes but it was n't a surprise !","When	c
he	c
went	c
back	c
to	c
his	c
house	c
,	c
his	c
wife	c
gave	c
him	c
the	c
box	c
with	c
the	c
shoes	c
but	c
it	c
was	c
n't	c
a	c
surprise	c
!	c
"
Scala was hungry with Pat because she thought she can keep this kind of secret .,"Scala	c
was	c
hungry	i
with	c
Pat	c
because	c
she	c
thought	c
she	c
can	i
keep	c
this	c
kind	c
of	c
secret	c
.	c
"
"Sir manager , I am writing in order to complain about what you have written in the advertisement on the newspaper .","Sir	c
manager	c
,	c
I	c
am	c
writing	c
in	c
order	c
to	c
complain	c
about	c
what	c
you	c
have	c
written	c
in	c
the	c
advertisement	c
on	i
the	c
newspaper	c
.	c
"
"I am disappointed because of the horrible evening I have had , I was on holiday in London and I did not have time enough to spend there , but when you said that show was the best I decided to go .","I	c
am	c
disappointed	c
because	c
of	c
the	c
horrible	c
evening	c
I	c
have	c
had	c
,	c
I	c
was	c
on	c
holiday	c
in	c
London	c
and	c
I	c
did	c
not	c
have	c
time	i
enough	i
to	c
spend	c
there	c
,	c
but	c
when	c
you	c
said	c
that	c
show	i
was	c
the	c
best	c
I	c
decided	c
to	c
go	c
.	c
"
When I bought my ticket I asked for a discount and they said it was not available .,"When	c
I	c
bought	c
my	c
ticket	c
I	c
asked	c
for	c
a	c
discount	c
and	c
they	c
said	c
it	i
was	i
not	i
available	c
.	c
"
At first it was not a problem because if the show was going to be the best it would cost what they said .,"At	c
first	c
it	c
was	c
not	c
a	c
problem	c
because	c
if	c
the	c
show	c
was	c
going	c
to	c
be	c
the	c
best	c
it	i
would	c
cost	i
what	c
they	c
said	i
.	c
"
"I arrived at the theatre in time and the musical show started later than I expected so I was getting nervous because I dislike very much the impuntuality , but that was not all .","I	c
arrived	c
at	c
the	c
theatre	c
in	c
time	c
and	c
the	c
musical	c
show	c
started	c
later	c
than	c
I	c
expected	c
so	c
I	c
was	c
getting	c
nervous	i
because	c
I	c
dislike	i
very	i
much	i
the	c
impuntuality	i
,	c
but	c
that	c
was	c
not	c
all	c
.	c
"
When the show started the person who was acting it was not Danny Brook and he seemed not to be an actor .,"When	c
the	c
show	c
started	c
the	c
person	c
who	c
was	c
acting	c
it	i
was	c
not	c
Danny	c
Brook	c
and	c
he	i
seemed	i
not	i
to	c
be	c
an	c
actor	c
.	c
"
Really he was bad .,"Really	c
he	c
was	c
bad	c
.	c
"
Afterwards I decided to go for a meal in the theatre restaurant but It was closed .,"Afterwards	c
I	c
decided	c
to	c
go	c
for	c
a	c
meal	c
in	c
the	c
theatre	c
restaurant	c
but	c
It	c
was	c
closed	c
.	c
"
So you can imagine how I felt because of the irritating evening out I had .,"So	c
you	c
can	c
imagine	c
how	c
I	c
felt	c
because	c
of	c
the	c
irritating	c
evening	c
out	c
I	c
had	c
.	c
"
I am letting down because of your behaviour .,"I	c
am	c
letting	i
down	c
because	i
of	i
your	c
behaviour	c
.	c
"
"You wanted to cheat me , so I will be very pleasure if you could give my money back .","You	c
wanted	c
to	c
cheat	c
me	c
,	c
so	c
I	c
will	c
be	c
very	c
pleasure	i
if	c
you	c
could	c
give	c
my	c
money	c
back	c
.	c
"
I am looking forward your answer .,"I	c
am	c
looking	c
forward	c
your	i
answer	c
.	c
"
"Your faithfully , I think technology has changed my life and the way of living of almost all people around the world .","Your	i
faithfully	c
,	c
I	c
think	c
technology	c
has	c
changed	c
my	c
life	c
and	c
the	c
way	c
of	c
living	i
of	c
almost	c
all	i
people	i
around	c
the	c
world	c
.	c
"
First of all technology is very useful nowadays but really I dislike it because in some ways we are becoming machines too .,"First	c
of	c
all	c
technology	c
is	c
very	c
useful	c
nowadays	c
but	c
really	c
I	c
dislike	c
it	c
because	c
in	c
some	c
ways	c
we	c
are	c
becoming	c
machines	c
too	c
.	c
"
"Since the creation of PCs , people - and me too , of course - are making different things .","Since	c
the	c
creation	c
of	c
PCs	c
,	c
people	c
-	c
and	c
me	c
too	c
,	c
of	c
course	c
-	c
are	i
making	i
different	c
things	c
.	c
"
"For example we can buy food , clothes and whatever we need by internet or by telephone .","For	c
example	c
we	c
can	c
buy	c
food	c
,	c
clothes	c
and	c
whatever	c
we	c
need	c
by	c
internet	i
or	c
by	c
telephone	c
.	c
"
I can know what is happening in differents parts of the world in a few minutes .,"I	c
can	c
know	i
what	c
is	c
happening	c
in	c
differents	i
parts	c
of	c
the	c
world	c
in	c
a	c
few	c
minutes	c
.	c
"
A very good point of this change is that women have more freedom to have a job because before reaching the technology they have to stay at home doing housework but now we have laundries and a lot of machines like microwave oven .,"A	c
very	c
good	c
point	i
of	c
this	c
change	c
is	c
that	c
women	c
have	c
more	c
freedom	c
to	c
have	i
a	i
job	i
because	c
before	c
reaching	i
the	c
technology	c
they	c
have	i
to	c
stay	c
at	c
home	c
doing	c
housework	c
but	c
now	c
we	c
have	c
laundries	c
and	c
a	c
lot	c
of	c
machines	c
like	c
microwave	c
oven	i
.	c
"
In my case I dislike computers .,"In	i
my	i
case	i
I	c
dislike	c
computers	c
.	c
"
I do n't know how to use them but I know I have to change because they help us to make our lives easier .,"I	c
do	c
n't	c
know	c
how	c
to	c
use	c
them	c
but	c
I	c
know	c
I	c
have	c
to	c
change	c
because	c
they	c
help	c
us	c
to	c
make	c
our	c
lives	c
easier	c
.	c
"
On the other hand what will happen with us in the future ?,"On	c
the	c
other	c
hand	c
what	c
will	c
happen	c
with	i
us	c
in	c
the	c
future	c
?	c
"
Our life will be managed by robots and they will replace us in our jobs .,"Our	c
life	i
will	c
be	c
managed	c
by	c
robots	c
and	c
they	c
will	c
replace	c
us	c
in	i
our	i
jobs	i
.	c
"
"So , what are we going to do ?","So	c
,	c
what	c
are	c
we	c
going	c
to	c
do	c
?	c
"
"Something that I note about technology is that we are loosing green places and there are a lot of pollution , so we have to be careful .","Something	c
that	c
I	c
note	c
about	c
technology	c
is	c
that	c
we	c
are	c
loosing	i
green	c
places	c
and	c
there	c
are	i
a	c
lot	c
of	c
pollution	c
,	c
so	c
we	c
have	c
to	c
be	c
careful	c
.	c
"
"Dear Mr. Ryan , I received your letter and I am very glad I have won a two weeks travel to Camp California .","Dear	c
Mr.	c
Ryan	c
,	c
I	c
received	c
your	c
letter	c
and	c
I	c
am	c
very	c
glad	c
I	c
have	c
won	c
a	c
two	c
weeks	i
travel	i
to	c
Camp	c
California	c
.	c
"
I will give you some information which helps you to know me better .,"I	c
will	c
give	c
you	c
some	c
information	c
which	c
helps	i
you	c
to	c
know	c
me	c
better	c
.	c
"
I would like to travel to camp in July because this is the best time for me and I hope for you .,"I	c
would	c
like	c
to	c
travel	c
to	c
camp	i
in	c
July	c
because	c
this	c
is	c
the	c
best	c
time	c
for	c
me	c
and	c
I	c
hope	c
for	c
you	c
.	c
"
I will be very busy in June so let me tell you some details about my travel .,"I	c
will	c
be	c
very	c
busy	c
in	c
June	c
so	c
let	c
me	c
tell	c
you	c
some	c
details	c
about	c
my	c
travel	i
.	c
"
"About accommodation , I think tents would be great .","About	i
accommodation	c
,	c
I	c
think	c
tents	c
would	c
be	c
great	c
.	c
"
Basketball and swimming I think are the best for the children .,"Basketball	c
and	c
swimming	c
I	c
think	c
are	c
the	c
best	c
for	c
the	c
children	c
.	c
"
Basketball will help children to build team character and leadership .,"Basketball	c
will	c
help	c
children	i
to	c
build	c
team	c
character	i
and	c
leadership	c
.	i
"
And swimming is very good for health .,"And	c
swimming	c
is	c
very	c
good	c
for	c
health	i
.	c
"
I swim really good and I am a proffesional basketball player .,"I	c
swim	c
really	c
good	i
and	c
I	c
am	c
a	c
proffesional	i
basketball	c
player	c
.	c
"
I count on my experience .,"I	c
count	c
on	c
my	c
experience	c
.	c
"
And there are few questions I would like to ask .,"And	c
there	c
are	c
few	i
questions	c
I	c
would	c
like	c
to	c
ask	c
.	c
"
"First , what clothes should I take with me , secondly .","First	c
,	c
what	c
clothes	c
should	c
I	c
take	c
with	c
me	c
,	i
secondly	i
.	i
"
how much money and by cash or by travel cards .,"how	c
much	c
money	c
and	c
by	i
cash	c
or	c
by	c
travel	c
cards	c
.	c
"
Thanks !,"Thanks	c
!	c
"
I am looking forward to our meeting .,"I	c
am	c
looking	c
forward	c
to	c
our	c
meeting	c
.	c
"
"Yours sincerely , Vasiliy Alekseyev .","Yours	c
sincerely	c
,	c
Vasiliy	c
Alekseyev	c
.	c
"
"Dear Kim , Last month I enjoyed helping at concert of \"" Modern Talking '' and now I want to share with you about my experience .","Dear	c
Kim	c
,	c
Last	c
month	c
I	c
enjoyed	c
helping	c
at	c
concert	i
of	c
""\""""""	c
Modern	c
Talking	c
''	c
and	c
now	c
I	c
want	c
to	c
share	c
with	c
you	c
about	c
my	c
experience	c
.	c
"
It all started when one of the organizers asked me to help him at a concert of my favorite band .,"It	c
all	c
started	c
when	c
one	c
of	c
the	c
organizers	c
asked	c
me	c
to	c
help	c
him	c
at	c
a	c
concert	c
of	c
my	c
favorite	i
band	c
.	c
"
And what do you think I answered ?,"And	c
what	c
do	c
you	c
think	c
I	c
answered	c
?	c
"
"Of course , yes !","Of	c
course	c
,	c
yes	c
!	c
"
I have got very responsible work I had to bring food for Peter Bolen and Tomas Anders .,"I	c
have	i
got	i
very	c
responsible	i
work	c
I	c
had	c
to	c
bring	c
food	c
for	c
Peter	c
Bolen	c
and	c
Tomas	c
Anders	c
.	c
"
Can you imagine ?,"Can	c
you	c
imagine	c
?	c
"
"I came into their room and give hot Cheeseburgers , Coca - Cola and ice - cream to Peter .","I	c
came	i
into	c
their	c
room	c
and	c
give	i
hot	c
Cheeseburgers	c
,	c
Coca	c
-	c
Cola	c
and	c
ice	c
-	c
cream	c
to	c
Peter	c
.	c
"
It was the happiest moment of my life .,"It	c
was	c
the	c
happiest	c
moment	c
of	c
my	c
life	c
.	c
"
He asked me was the cheeseburger hot and I answered that it was .,"He	c
asked	c
me	c
was	i
the	i
cheeseburger	i
hot	c
and	c
I	c
answered	c
that	c
it	c
was	c
.	c
"
I was very nervous talking with him .,"I	c
was	c
very	c
nervous	c
talking	c
with	c
him	c
.	c
"
He told me about concert programme and gave me his photo with a sign .,"He	c
told	c
me	c
about	c
concert	i
programme	c
and	c
gave	c
me	c
his	c
photo	c
with	c
a	i
sign	i
.	c
"
I will never forget that summer day .,"I	c
will	c
never	c
forget	c
that	c
summer	c
day	c
.	c
"
"It was my day , I am sure about it .","It	c
was	c
my	c
day	c
,	c
I	c
am	c
sure	c
about	c
it	c
.	c
"
"Well , I think that is all .","Well	c
,	c
I	c
think	c
that	c
is	c
all	c
.	c
"
See you .,"See	c
you	c
.	c
"
"Yours faithfully , Vasiliy .","Yours	i
faithfully	i
,	c
Vasiliy	c
.	c
"
"Dear Sir or Madam , I am writting to you about the show .","Dear	c
Sir	c
or	c
Madam	c
,	c
I	c
am	c
writting	i
to	c
you	c
about	c
the	c
show	c
.	c
"
I was very disappointed after this show .,"I	c
was	c
very	c
disappointed	c
after	c
this	i
show	c
.	c
"
I would like to have my money back .,"I	c
would	c
like	c
to	c
have	c
my	c
money	c
back	c
.	c
"
"At first the show started at 10.15 , and it should be at 19.30 .","At	i
first	i
the	c
show	c
started	c
at	c
10.15	c
,	c
and	c
it	c
should	c
be	i
at	c
19.30	c
.	c
"
"After your show I wanted to visit my friends , and because of it , I did n't do it .","After	c
your	c
show	c
I	c
wanted	c
to	c
visit	c
my	c
friends	c
,	c
and	c
because	c
of	c
it	c
,	c
I	c
did	i
n't	c
do	c
it	i
.	c
"
"Also , you wrote about discounts , but it 's not true !","Also	c
,	c
you	c
wrote	c
about	c
discounts	c
,	c
but	c
it	c
's	i
not	c
true	c
!	c
"
"The woman , who sold a ticket was very roud with me , actually she started swearing at me .","The	c
woman	c
,	c
who	c
sold	c
a	i
ticket	c
was	c
very	c
roud	i
with	i
me	c
,	c
actually	c
she	c
started	c
swearing	c
at	c
me	c
.	c
"
"During the show , I was very hungry but I hoped to visit restaurant , it 's a pity , but restaurant was closed because it was too late .","During	c
the	c
show	c
,	c
I	c
was	c
very	c
hungry	c
but	c
I	c
hoped	c
to	c
visit	c
restaurant	i
,	c
it	i
's	i
a	c
pity	c
,	c
but	i
restaurant	i
was	c
closed	c
because	c
it	c
was	c
too	c
late	c
.	c
"
"And , I forget to say about actor , I did n't enjoy them .","And	c
,	c
I	c
forget	c
to	c
say	c
about	i
actor	i
,	c
I	c
did	c
n't	c
enjoy	c
them	c
.	c
"
"So , I hope I will get my money back , it was very disappointing evening out in my life !","So	c
,	c
I	c
hope	c
I	c
will	c
get	c
my	c
money	c
back	c
,	i
it	i
was	c
very	i
disappointing	c
evening	c
out	c
in	c
my	c
life	c
!	c
"
I hope you understand me !,"I	c
hope	c
you	c
understand	c
me	c
!	c
"
"your sincerely Ongelina Unfortunately , Pat was n't very good at keeping secrets , but any way I trusted him .","your	i
sincerely	c
Ongelina	c
Unfortunately	c
,	c
Pat	c
was	c
n't	c
very	c
good	c
at	c
keeping	c
secrets	c
,	c
but	c
any	i
way	i
I	i
trusted	i
him	i
.	c
"
"It 's happened 3 months ago , and during this months I am very upset .","It	c
's	c
happened	c
3	c
months	c
ago	c
,	c
and	c
during	c
this	i
months	i
I	c
am	i
very	c
upset	c
.	c
"
"I have a friend , his name Peter , he is my best friend .","I	c
have	c
a	c
friend	c
,	c
his	c
name	c
Peter	i
,	c
he	c
is	c
my	c
best	c
friend	c
.	c
"
One day Peter killed one boy .,"One	c
day	c
Peter	c
killed	c
one	i
boy	c
