,word,label_GPT3,label_ChatGPT_prompt,label_ChatGPT_chat,label_Ground_truth
505,I,c,c,c,c
506,had,c,c,c,c
507,to,c,c,c,c
508,(,c,c,i,c
509,lyd,i,i,i,c
510,),c,c,i,c
511,tidy,c,c,c,c
512,up,c,c,c,c
513,the,c,c,c,c
514,place,c,c,c,c
515,where,c,c,c,c
516,they,c,c,c,c
517,have,c,c,c,c
518,to,c,c,i,c
519,wait,c,c,c,c
520,until,c,c,c,i
521,their,c,c,c,c
522,turn,c,c,c,c
523,.,c,c,c,c
524,The,c,c,c,c
525,group,c,c,c,c
526,asked,c,c,c,c
527,me,c,c,c,c
528,make,i,i,i,i
529,sure,c,c,c,c
530,that,c,c,c,c
531,in,c,c,c,c
532,the,c,c,c,c
533,fridge,c,c,c,c
534,they,c,c,c,c
535,always,c,c,c,c
536,could,c,c,c,c
537,find,c,c,c,c
538,a,c,c,c,c
539,big,c,c,c,i
540,variety,c,c,c,c
541,of,c,c,c,c
542,drinks,c,c,c,c
543,including,c,c,c,c
544,honey,c,c,c,c
545,and,c,c,c,c
546,lemon,c,c,c,c
547,for,c,c,c,c
548,throat,c,c,c,i
549,.,c,c,c,c
550,Other,c,c,c,i
551,thing,c,c,c,c
552,I,c,c,c,c
553,had,c,c,c,c
554,to,c,c,c,c
555,do,c,c,c,c
556,is,c,c,c,i
557,keep,c,c,c,c
558,an,c,c,c,c
559,eye,c,c,c,c
560,in,c,c,c,i
561,the,c,c,c,c
562,towels,c,c,c,c
563,",",c,c,c,c
564,I,c,c,c,c
565,mean,c,c,c,c
566,",",c,c,c,c
567,dried,c,c,c,i
568,towels,c,c,c,c
569,because,c,c,c,c
570,as,c,c,c,c
571,you,c,c,c,c
572,know,c,c,c,c
573,that,c,c,c,c
574,country,c,c,c,c
575,is,c,c,c,c
576,too,c,c,c,c
577,hot,c,c,c,c
578,",",c,c,c,c
579,especially,c,c,c,c
580,for,c,c,c,c
581,my,c,c,c,c
582,liking,c,c,c,c
583,",",c,c,c,c
584,as,c,c,c,i
585,they,c,c,c,c
586,have,c,c,c,c
587,to,c,c,i,c
588,change,c,c,c,c
589,the,c,c,c,c
590,clothes,c,c,c,c
591,and,c,c,c,c
592,looks,c,c,i,i
593,fresh,c,c,c,c
594,;,c,c,c,c
595,do,c,c,c,c
596,n't,c,c,c,c
597,ask,c,c,c,c
598,me,c,c,c,c
599,why,c,c,c,c
600,.,c,c,c,c
601,The,c,c,c,c
602,pop,c,c,c,c
603,concert,c,c,c,c
604,happened,c,c,c,c
605,in,c,c,c,c
606,a,c,c,c,c
607,big,c,c,c,c
608,stadium,c,c,c,c
609,called,c,c,c,c
610,"\""",c,c,c,c
611,Mararcanã,c,c,c,c
612,"\""",c,c,c,c
613,.,c,c,c,c
614,I,c,c,c,c
615,just,c,c,c,c
616,did,c,c,c,c
617,not,c,c,c,c
618,enjoyed,i,i,i,i
619,when,c,c,c,i
620,they,c,c,c,c
621,were,c,c,c,c
622,making,c,c,c,c
623,the,c,c,c,c
624,instruments,c,c,c,c
625,work,c,c,c,c
626,for,c,c,c,c
627,the,c,c,c,c
628,big,c,c,c,c
629,day,c,c,c,c
630,.,c,c,c,c
631,But,c,c,c,c
632,what,c,c,c,c
633,I,c,c,c,c
634,particularly,c,c,c,c
635,liked,c,c,c,c
636,was,c,c,c,c
637,see,c,i,i,i
638,and,c,c,c,i
639,ask,c,c,c,i
640,autographs,c,c,c,i
641,from,c,c,c,i
642,the,c,c,c,i
643,rest,c,c,c,i
644,of,c,c,c,i
645,the,c,c,c,i
646,others,c,c,c,i
647,groups,c,c,c,i
648,.,c,c,c,c
649,Do,c,c,c,c
650,n't,c,c,c,c
651,be,c,c,c,c
652,jealous,c,c,c,c
653,",",c,c,c,c
654,I,c,c,c,c
655,will,c,c,c,c
656,make,c,c,c,c
657,a,c,c,c,c
658,copy,c,c,c,c
659,for,c,c,c,c
660,you,c,c,c,c
661,",",c,c,c,c
662,OK,c,c,c,c
663,?,c,c,c,c
664,Love,c,c,i,c
665,Dear,c,c,c,c
666,Ms,c,c,c,c
667,Jane,c,c,c,c
668,Clark,c,c,c,c
669,.,c,c,c,c
670,I,c,c,c,c
671,am,c,c,c,c
672,writing,c,c,c,c
673,to,c,c,c,c
674,you,c,c,c,c
675,with,c,c,c,c
676,regard,c,c,c,c
677,to,c,c,c,c
678,the,c,c,c,c
679,International,c,c,c,c
680,Art,c,c,c,c
681,Festival,c,c,c,c
682,that,c,c,c,c
683,was,c,c,c,c
684,held,c,c,c,c
685,recently,c,c,c,c
686,.,c,c,c,c
687,The,c,c,c,c
688,festival,c,c,c,c
689,was,c,c,c,c
690,excenent,i,i,i,i
691,in,c,c,c,c
692,many,c,c,c,c
693,ways,c,c,c,c
694,",",c,c,c,c
695,and,c,c,c,c
696,especially,c,c,c,i
697,it,c,c,c,c
698,being,i,c,c,c
699,an,c,c,c,c
700,international,c,c,c,c
701,festival,c,c,c,c
702,was,c,c,c,c
703,a,c,c,c,c
704,challenging,c,c,c,c
705,",",c,c,c,c
706,but,c,c,c,c
707,brilliant,c,c,c,c
708,idea,c,c,c,c
709,.,c,c,c,c
710,I,c,c,c,c
711,assume,c,c,c,c
712,that,c,c,c,c
713,this,c,c,c,c
714,fact,c,c,c,c
715,attracted,c,c,c,c
716,people,c,c,c,c
717,very,c,c,c,c
718,much,c,c,c,c
719,.,c,c,c,c
720,In,c,c,c,c
721,addition,c,c,c,c
722,to,c,c,c,c
723,that,c,c,c,c
724,",",c,c,c,c
725,organising,c,c,c,c
726,one,c,c,c,c
727,weekend,c,c,c,c
728,with,c,c,c,c
729,special,c,c,c,c
730,price,c,c,c,c
731,tickets,c,c,c,c
732,was,c,c,c,c
733,particularly,c,c,c,c
734,good,c,c,c,c
735,.,c,c,c,c
736,I,c,c,c,c
737,personally,c,c,c,c
738,think,c,c,c,c
739,that,c,c,c,c
740,it,c,c,c,c
741,helped,c,c,c,c
742,many,c,c,c,c
743,people,c,c,c,c
744,who,c,c,c,c
745,were,c,c,c,c
746,not,c,c,c,c
747,able,c,c,c,c
748,to,c,c,c,c
749,afford,c,c,c,c
750,the,c,c,c,c
751,tickets,c,c,c,c
752,with,c,c,c,i
753,proper,c,c,c,i
754,price,c,c,c,c
755,to,c,c,c,c
756,come,c,c,c,c
757,to,c,c,c,c
758,the,c,c,c,c
759,festival,c,c,c,c
760,.,c,c,c,c
761,Moreover,c,c,c,c
762,",",c,c,c,c
763,most,c,c,c,c
764,of,c,c,c,c
765,the,c,c,c,c
766,events,c,c,c,c
767,I,c,c,c,c
768,went,c,c,c,c
769,to,c,c,c,c
770,were,c,c,c,c
771,fantastic,c,c,c,c
772,.,c,c,c,c
773,However,c,c,c,c
774,",",c,c,c,c
775,I,c,c,c,c
776,still,c,c,c,c
777,have,c,c,c,c
778,some,c,c,c,c
779,comments,c,c,c,c
780,to,c,c,c,c
781,make,c,c,c,c
782,to,c,c,c,c
783,improve,c,c,c,c
784,the,c,c,c,c
785,festival,c,c,c,c
786,next,c,c,c,c
787,year,c,c,c,c
788,.,c,c,c,c
789,The,c,c,c,c
790,festival,c,c,c,c
791,was,c,c,c,c
792,supposed,c,c,c,c
793,to,c,c,c,c
794,be,c,c,c,c
795,an,c,c,c,c
796,international,c,c,c,c
797,one,c,c,c,c
798,",",c,c,c,c
799,but,c,c,c,c
800,the,c,c,c,c
801,artists,c,c,c,c
802,and,c,c,c,c
803,stars,c,c,c,c
804,participated,i,c,c,i
805,in,c,c,c,c
806,it,c,c,c,c
807,were,c,c,c,c
808,from,c,c,c,c
809,six,c,c,c,c
810,countries,c,c,c,c
811,only,c,c,c,c
812,.,c,c,c,c
813,Thus,c,c,c,c
814,",",c,c,c,c
815,I,c,c,c,c
816,recommend,c,c,c,c
817,that,c,c,c,c
818,stars,c,c,c,c
819,and,c,c,c,c
820,artists,c,c,c,c
821,of,c,c,c,c
822,various,c,c,c,c
823,nationalities,c,c,c,c
824,should,c,c,c,c
825,be,c,c,c,c
826,invited,c,c,c,c
827,.,c,c,c,c
828,Also,c,c,c,c
829,",",c,c,c,c
830,some,c,c,c,c
831,of,c,c,c,c
832,the,c,c,c,c
833,concert,c,c,c,c
834,halls,c,c,c,c
835,where,c,c,c,c
836,the,c,c,c,c
837,musicians,c,c,c,c
838,performed,c,c,c,c
839,were,c,c,c,c
840,not,c,c,c,c
841,big,c,c,c,c
842,enough,c,c,c,c
843,for,c,c,c,c
844,the,c,c,c,c
845,vast,c,c,c,c
846,number,c,c,c,c
847,of,c,c,c,c
848,audiences,c,c,c,i
849,.,c,c,c,c
850,I,c,c,c,c
851,think,c,c,c,c
852,it,c,c,c,c
853,would,c,c,c,c
854,be,c,c,c,c
855,much,c,c,c,c
856,better,c,c,c,c
857,to,c,c,c,c
858,use,c,c,c,c
859,bigger,c,c,c,c
860,concert,c,c,c,c
861,halls,c,c,c,c
862,.,c,c,c,c
863,Furthermore,c,c,c,c
864,",",c,c,c,c
865,I,c,c,c,c
866,found,c,c,c,c
867,that,c,c,c,c
868,there,c,c,c,c
869,were,c,c,c,c
870,not,c,c,c,c
871,many,c,c,c,c
872,genres,c,c,c,c
873,of,i,i,i,i
874,neither,i,i,i,i
875,the,c,c,c,i
876,films,c,c,c,i
877,nor,c,i,c,i
878,the,c,c,c,c
879,plays,c,c,c,c
880,.,c,c,c,c
881,So,c,c,c,c
882,I,c,c,c,c
883,suggest,c,c,c,c
884,you,c,c,c,c
885,have,c,c,c,c
886,various,c,c,c,c
887,kinds,c,c,i,c
888,",",c,c,c,c
889,and,c,c,c,c
890,more,c,c,c,c
891,numbers,c,c,i,c
892,of,c,c,i,c
893,plays,c,c,c,c
894,and,c,c,c,c
895,films,c,c,c,c
896,next,c,c,c,c
897,year,c,c,c,c
898,.,c,c,c,c
899,I,c,c,c,c
900,hope,c,c,c,c
901,that,c,c,c,c
902,next,c,c,c,c
903,year,c,c,c,c
904,'s,c,c,c,c
905,festival,c,c,c,c
906,will,c,c,c,c
907,be,c,c,c,c
908,much,c,c,c,c
909,more,c,c,c,c
910,successful,c,c,c,c
911,that,i,c,i,i
912,this,c,c,c,c
913,year,c,c,c,c
914,'s,c,c,c,c
915,one,c,c,c,c
916,.,c,c,c,c
917,Yours,c,c,c,c
918,sincerely,c,c,c,c
919,",",c,c,c,c
920,The,c,c,i,c
921,Old,c,i,c,c
922,Man,c,c,c,c
923,and,c,c,c,c
924,the,c,c,c,c
925,Sea,c,c,c,c
926,People,c,c,c,c
927,all,c,c,c,c
928,have,c,c,c,c
929,different,c,c,c,c
930,opinions,c,c,c,c
931,about,c,c,c,c
932,books,c,c,c,c
933,.,c,c,c,c
934,Some,c,c,c,c
935,prefer,c,c,c,c
936,realistic,c,c,c,c
937,stories,c,c,c,c
938,whereas,c,c,c,c
939,others,c,c,c,c
940,do,c,c,c,i
941,unusual,c,c,c,c
942,ones,c,c,c,c
943,.,c,c,c,c
944,But,c,c,c,c
945,I,c,c,c,c
946,prefer,c,c,c,c
947,realistic,c,c,c,c
948,stories,c,c,c,c
949,such,c,c,c,c
950,as,c,c,c,c
951,Ernest,c,c,c,c
952,Hemingway,c,c,c,c
953,'s,c,c,c,c
954,"\""",c,c,c,c
955,The,c,c,c,c
956,Old,c,c,c,c
957,Man,c,c,c,c
958,and,c,c,c,c
959,the,c,c,c,c
960,Sea,c,c,c,c
961,',c,c,c,c
962,.,c,c,c,c
963,Above,c,c,c,c
964,all,c,c,c,c
965,",",c,c,c,c
966,realistic,c,c,c,c
967,stories,c,c,c,c
968,teach,c,c,c,c
969,me,c,c,c,c
970,something,c,c,c,c
971,of,c,c,c,i
972,the,c,c,c,c
973,life,c,c,c,c
974,",",c,c,c,c
975,or,c,c,c,c
976,at,c,c,c,c
977,least,c,c,c,c
978,influence,c,c,c,c
979,me,c,c,c,c
980,.,c,c,c,c
981,As,c,c,c,c
982,far,c,c,c,c
983,as,c,c,c,c
984,I,c,c,c,c
985,'m,c,c,c,c
986,concerned,c,c,c,c
987,",",c,c,c,c
988,my,c,c,c,c
989,behaviour,c,c,c,c
990,and,c,c,c,c
991,attitudes,c,c,c,c
992,towards,c,c,c,c
993,a,c,c,c,c
994,difficult,c,c,c,c
995,situation,c,c,c,c
996,began,c,c,c,c
997,to,c,c,c,c
998,change,c,c,c,c
999,after,c,c,c,c
1000,reading,c,c,c,c
1001,this,c,c,c,c
1002,book,c,c,c,c
1003,.,c,c,c,c
1004,Here,c,c,c,c
1005,",",c,c,c,c
1006,the,c,c,c,c
1007,fishman,c,c,c,c
1008,is,c,c,c,c
1009,very,c,c,c,c
1010,old,c,c,c,c
1011,",",c,c,c,c
1012,but,c,c,c,c
1013,he,c,c,c,c
1014,is,c,c,c,c
1015,still,c,c,c,c
1016,challenging,c,c,c,c
1017,to,c,c,c,c
1018,everything,c,c,c,c
1019,he,c,c,c,c
1020,faces,c,c,c,c
1021,.,c,c,c,c
1022,When,c,c,c,c
1023,he,c,c,c,c
1024,caught,c,c,c,c
1025,a,c,c,c,c
1026,shark,c,c,c,c
1027,which,c,c,c,c
1028,was,c,c,c,c
1029,bigger,c,c,c,c
1030,than,c,c,c,c
1031,the,c,c,c,c
1032,ship,c,c,c,c
1033,",",c,c,c,c
1034,he,c,c,c,c
1035,never,c,c,c,c
1036,gave,c,c,c,c
1037,up,c,c,c,c
1038,taking,c,c,c,i
1039,it,c,c,c,c
1040,back,c,c,c,c
1041,to,c,c,c,c
1042,his,c,c,c,c
1043,village,c,c,c,c
1044,",",c,c,c,c
1045,even,c,c,c,c
1046,when,c,c,c,c
1047,sharks,c,c,c,c
1048,were,c,c,c,c
1049,around,c,c,c,c
1050,him,c,c,c,c
1051,.,c,c,c,c
1052,Real,c,c,c,c
1053,stories,c,c,c,c
1054,have,c,c,c,c
1055,huge,c,c,c,c
1056,impacts,i,c,c,c
1057,on,c,c,c,c
1058,me,c,c,c,c
1059,",",c,c,c,c
1060,and,c,c,c,c
1061,affect,c,c,c,c
1062,me,c,c,c,c
1063,a,c,c,c,c
1064,lot,c,c,c,c
1065,",",c,c,c,c
1066,often,c,c,c,c
1067,in,c,c,c,c
1068,good,c,c,c,c
1069,ways,c,c,c,c
1070,.,c,c,c,c
1071,In,c,c,c,c
1072,addition,c,c,c,c
1073,to,c,c,c,c
1074,that,c,c,c,c
1075,",",c,c,c,c
1076,realistic,c,c,c,c
1077,stories,c,c,c,c
1078,are,c,c,c,c
1079,more,c,c,c,c
1080,attractive,c,c,c,c
1081,",",c,c,c,c
1082,I,c,c,c,c
1083,personally,c,c,c,c
1084,do,c,c,c,c
1085,n't,c,c,c,c
1086,want,c,c,c,c
1087,to,c,c,c,c
1088,hear,c,c,c,c
1089,stories,c,c,c,c
1090,about,c,c,c,c
1091,very,c,c,c,c
1092,peculiar,c,c,c,c
1093,incidents,c,c,c,c
1094,as,c,c,c,c
1095,I,c,c,c,c
1096,know,c,c,c,c
1097,they,c,c,c,c
1098,can,c,c,c,c
1099,not,c,c,c,c
1100,be,c,c,c,c
1101,true,c,c,c,c
1102,.,c,c,c,c
1103,But,c,c,c,c
1104,",",c,c,c,c
1105,while,c,c,c,c
1106,reading,c,c,c,c
1107,realistic,c,c,c,c
