,word,label
350,long,c
351,time,c
352,to,c
353,wait,c
354,in,c
355,the,c
356,theatre,c
357,.,c
358,Thirdly,c
359,",",c
360,it,c
361,mentioned,c
362,about,c
363,discounts,c
364,.,c
365,Despite,c
366,of,i
367,the,c
368,fact,c
369,that,c
370,I,c
371,am,c
372,a,c
373,student,c
374,",",c
375,I,c
376,could,c
377,not,c
378,get,c
379,any,c
380,discounts,c
381,.,c
382,I,c
383,also,c
384,visited,c
385,your,c
386,restaurant,c
387,after,c
388,the,c
389,show,c
390,but,c
391,already,c
392,closed,c
393,because,c
394,the,c
395,show,c
396,finished,c
397,late,c
398,.,c
399,Because,c
400,of,c
401,the,c
402,reason,c
403,above,c
404,",",c
405,I,c
406,",",c
407,indeed,c
408,",",c
409,spent,c
410,awful,c
411,last,c
412,night,c
413,in,c
414,London,c
415,.,c
416,I,c
417,would,c
418,like,c
419,you,c
420,to,c
421,refund,i
422,",",c
423,otherwise,c
424,",",c
425,I,c
426,will,c
427,take,c
428,an,c
429,action,c
430,.,c
431,I,c
432,look,c
433,forward,c
434,to,c
435,receiving,c
436,reply,c
437,to,c
438,my,c
439,enquiry,c
440,.,c
441,Sincerely,i
442,Fashion,c
443,of,c
444,the,c
445,future,c
446,People,c
447,will,c
448,wear,c
449,this,c
450,kind,c
451,of,c
452,clothes,c
453,100,c
454,years,c
455,later,c
456,from,c
457,now,c
458,.,c
459,If,c
460,weather,c
461,is,c
462,hot,c
463,then,c
464,we,c
465,do,c
466,n't,c
467,have,c
468,to,c
469,wear,c
470,under,c
471,wear,c
472,because,c
473,very,c
474,thin,c
475,and,c
476,light,c
477,clothes,c
478,will,c
479,support,c
480,our,c
481,bodies,c
482,.,c
483,There,c
484,will,c
485,be,c
486,two,c
487,functions,c
488,for,c
489,summer,c
490,clothes,c
491,that,c
492,we,c
493,do,c
494,n't,c
495,need,c
496,to,c
497,wear,c
498,clothes,c
499,like,c
500,layer,c
501,and,c
502,layer,c
503,.,c
504,For,c
505,example,c
506,",",c
507,T,c
508,-,c
509,shirts,c
510,for,c
511,women,c
512,are,c
513,included,i
514,bra,c
515,:,c
516,easy,c
517,to,c
518,take,c
519,it,c
520,out,c
521,when,c
522,you,c
523,wash,c
524,it,c
525,",",c
526,is,i
527,very,c
528,simple,c
529,and,c
530,comfortable,c
531,.,c
532,What,c
533,about,c
534,short,c
535,pants,c
536,?,c
537,You,c
538,do,c
539,n't,c
540,have,c
541,to,c
542,wear,c
543,knickers,c
544,.,c
545,We,c
546,can,c
547,just,c
548,put,c
549,some,c
550,thin,c
551,pads,c
552,in,c
553,there,c
554,.,c
555,We,c
556,ca,c
557,n't,c
558,feel,c
559,it,c
560,and,c
561,easy,i
562,to,c
563,remove,c
564,and,c
565,just,c
566,can,c
567,wash,c
568,it,c
569,.,c
570,Simplest,i
571,is,c
572,the,c
573,best,c
574,in,c
575,summer,c
576,!,c
577,When,c
578,it,c
579,'s,c
580,very,c
581,cold,c
582,winter,c
583,",",c
584,we,c
585,just,c
586,wear,c
587,light,c
588,clothes,c
589,what,i
590,we,c
591,want,c
592,",",c
593,in,c
594,our,c
595,style,c
596,.,c
597,Because,c
598,special,c
599,warm,c
600,and,c
601,healthy,c
602,material,c
603,will,c
604,be,c
605,developed,c
606,and,c
607,use,c
608,them,c
609,inside,c
610,thin,c
611,clothes,c
612,so,c
613,we,c
614,do,c
615,n't,c
616,need,c
617,to,c
618,put,c
619,heavy,c
620,clothes,c
621,on,c
622,our,c
623,bodies,c
624,.,c
625,We,c
626,can,c
627,show,c
628,our,c
629,body,c
630,line,c
631,in,c
632,winter,c
633,as,c
634,well,c
635,.,c
636,Most,c
637,important,c
638,thing,c
639,is,c
640,that,c
641,we,c
642,do,c
643,n't,c
644,have,c
645,to,c
646,kill,c
647,the,c
648,animals,c
649,only,c
650,for,c
651,people,c
652,'s,c
653,cruel,c
654,aims,c
655,.,c
656,Functions,i
657,',c
658,clothes,c
659,are,c
660,the,c
661,way,c
662,to,c
663,love,c
664,animals,c
665,!,c
666,DECEMBER,i
667,12TH,i
668,PRINCIPAL,i
669,MR,i
670,.,c
671,ROBERTSON,i
672,DEAR,i
673,SIR,c
674,",",c
675,I,c
676,WANT,c
677,TO,c
678,THAK,i
679,YOU,c
680,FOR,c
681,PREPARING,c
682,SUCH,c
683,A,c
684,GOOD,c
685,PROGRAMME,c
686,FOR,c
687,US,c
688,AND,c
689,ESPECIALLY,c
690,FOR,c
691,TAKING,c
692,US,c
693,TO,c
694,THE,c
695,RIVER,c
696,TRIP,c
697,TO,c
698,GREENWICH,c
699,.,c
700,I,c
701,WOULD,c
702,LIKE,c
703,TO,c
704,KNOW,c
705,IF,c
706,THERE,c
707,IS,c
708,ANY,c
709,CHANCE,c
710,OF,c
711,CHANGING,c
712,THE,c
713,PROGRAMME,c
714,BECAUSE,c
715,WE,c
716,HAVE,c
717,FOUND,c
718,A,c
719,VERY,c
720,INTERESTING,c
721,ACTIVITY,c
722,TO,c
723,DO,c
724,ON,c
725,TUESDAY,c
726,14,c
727,MARCH,c
728,.,c
729,IT,c
730,CONSISTS,c
731,ON,i
732,VISITING,c
733,THE,c
734,LONDON,c
735,FASHION,c
736,AND,c
737,LEISURE,c
738,SHOW,c
739,IN,c
740,THE,c
741,CENTRAL,c
742,EXHIBITION,c
743,HALL,c
744,.,c
745,I,c
746,THINK,c
747,IT,c
748,'S,c
749,A,c
750,GREAT,c
751,OPPORTUNITY,c
752,TO,c
753,MAKE,c
754,GREATER,c
755,USE,c
756,OF,c
757,OUR,c
758,KNOWLEDGE,c
759,OF,c
760,ENGLISH,c
761,LANGUAGE,c
762,.,c
763,ON,c
764,THE,c
765,OTHER,c
766,HAND,c
767,",",c
768,WE,c
769,COULD,c
770,LEARN,c
771,THE,c
772,DIFFERENT,c
773,WAYS,c
774,TO,c
775,GET,c
776,TO,c
777,THE,c
778,CENTRAL,c
779,EXHIBITION,c
780,HALL,c
781,.,c
782,I,c
783,SUGGEST,c
784,THAT,c
785,WE,c
786,SHOULD,c
787,GO,c
788,TO,c
789,THE,c
790,ART,c
791,GALLERY,c
792,IN,c
793,THE,c
794,MORNING,c
795,AND,c
796,INSTEAD,c
797,OF,c
798,HAVING,c
799,THE,c
800,AFTERNOON,c
801,FREE,c
802,WE,c
803,COULD,c
804,GO,c
805,TO,c
806,THE,c
807,FASHION,c
808,AND,c
809,LEISURE,c
810,SHOW,c
811,.,c
812,I,c
813,WILL,c
814,BE,c
815,WRITING,c
816,ANXIOUSLY,c
817,FOR,c
818,YOUR,c
819,RESPONSE,c
820,.,c
821,YOURS,c
822,FAITHFULLY,c
823,(,c
824,FAMOUS,c
825,PEOPLE,c
826,",",c
827,SUCH,c
828,AS,c
829,POLITICIANS,c
830,AND,c
831,FILM,c
832,STARS,c
833,",",c
834,DESERVE,c
835,TO,c
836,HAVE,c
837,A,c
838,PRIVATE,c
839,LIFE,c
840,WITHOUT,c
841,JOURNALISTS,c
842,FOLLOWING,c
843,THEM,c
844,ALL,c
845,THE,c
846,TIME,c
847,),c
848,FAMOUS,c
849,PEOPLE,c
850,SUCH,c
851,AS,c
852,SINGERS,c
853,",",c
854,FILM,c
855,STARS,c
856,",",c
857,ETC,c
858,ARE,c
859,ALWAYS,c
860,THE,c
861,CENTRE,c
862,OF,c
863,ATTENTION,c
864,.,c
865,AS,c
866,SOME,c
867,OF,c
868,THEM,c
869,ARE,c
870,CONSIDERED,c
871,IDOLS,c
872,",",c
873,THEIR,c
874,FANS,c
875,WANT,c
876,TO,c
877,KNOW,c
878,HOW,c
879,THEY,c
880,ACT,c
881,IN,c
882,THEIR,c
883,PRIVATE,c
884,LIVES,c
885,",",c
886,WITH,c
887,THEIR,c
888,FAMILY,c
889,OR,c
890,FRIENDS,c
891,.,c
892,AS,c
893,A,c
894,RESPONSE,c
895,TO,c
896,THIS,c
897,DEMAND,c
898,OF,c
899,INFORMATION,c
900,",",c
901,JOURNALISTS,c
902,FOLLOW,c
903,FAMOUS,c
904,PEOPLE,c
905,DAY,c
906,AND,c
907,NIGHT,c
908,IN,c
909,MANY,c
910,DIFFERENT,c
911,WAYS,c
912,",",c
913,FOR,c
914,EXAMPLE,c
915,",",c
916,CHASING,c
917,THEIR,c
918,CARS,c
919,",",c
920,TAKING,c
921,PHOTOGRAPHS,c
922,OR,c
923,BREAKING,c
924,INTO,c
925,THEIR,c
926,HOUSES,c
927,WHILE,c
928,THEY,c
929,ARE,c
930,ON,c
931,HOLIDAYS,c
932,.,c
933,THIS,c
934,SITUATION,c
935,AFFECTS,c
936,FAMOUS,c
937,PERSONAL,c
938,LIVES,c
939,BECAUSE,c
940,THEY,c
941,ARE,c
942,NOT,c
943,ALLOWED,c
944,TO,c
945,HAVE,c
946,PRIVACY,c
947,THE,c
948,I,c
949,have,c
950,seen,c
951,your,c
952,programme,c
953,for,c
954,the,c
955,trip,c
956,and,c
957,I,c
958,think,c
959,it,c
960,is,c
961,going,c
962,to,c
963,be,c
964,a,c
965,great,c
966,trip,c
967,.,c
968,Thank,c
969,you,c
970,very,c
971,much,c
972,for,c
973,organising,c
974,this,c
975,trip,c
976,and,c
977,putting,c
978,all,c
979,your,c
980,spare,c
981,time,c
982,and,c
983,effort,c
984,into,c
985,it,c
986,.,c
987,Personally,c
988,",",c
989,I,c
990,enjoy,c
991,looking,c
992,and,c
993,learning,c
994,about,c
995,new,c
996,inventions,c
997,and,all
998,the,c
999,science,c
1000,.,c
1001,That,c
1002,is,c
1003,why,c
1004,I,c
1005,think,c
1006,the,c
1007,trip,c
1008,to,c
1009,the,c
1010,science,c
1011,museum,c
1012,is,c
1013,a,c
1014,good,c
1015,idea,c
1016,.,c
1017,However,c
1018,",",c
1019,my,c
1020,class,c
1021,and,c
1022,I,c
1023,have,c
1024,seen,c
1025,an,c
1026,advertisement,c
1027,about,c
1028,a,c
1029,fashion,c
1030,and,c
1031,leisure,c
1032,show,c
1033,.,c
1034,We,c
1035,are,c
1036,attracted,c
1037,to,c
1038,this,c
1039,show,c
1040,and,c
1041,would,c
1042,like,c
1043,to,c
1044,go,c
1045,.,c
1046,Unfortunately,c
1047,",",c
1048,it,c
1049,is,c
1050,on,c
1051,14th,c
1052,March,c
1053,",",c
1054,which,c
1055,is,c
1056,the,c
1057,day,c
1058,we,c
1059,will,c
1060,be,c
1061,visiting,c
1062,the,c
1063,science,c
1064,museum,c
1065,.,c
1066,This,c
1067,show,c
1068,is,c
1069,on,c
1070,14th,c
1071,March,c
1072,.,c
1073,It,c
1074,is,c
1075,in,c
1076,the,c
1077,Central,c
1078,Exhibition,c
1079,Hall,c
1080,and,c
1081,will,c
1082,start,c
1083,and,i
1084,ten,c
1085,o'clock,c
1086,and,c
1087,finish,c
1088,at,c
1089,five,c
1090,o'clock,c
1091,in,c
1092,the,c
1093,evening,c
1094,.,c
1095,Apparently,c
1096,",",c
1097,this,c
1098,show,c
1099,is,c
1100,free,c
1101,to,c
1102,all,c
1103,students,c
1104,",",c
1105,which,c
1106,means,c
1107,if,c
1108,we,c
1109,went,c
1110,",",c
1111,the,c
1112,cost,c
1113,of,c
1114,the,c
1115,trip,c
1116,will,c
1117,be,c
1118,cut,c
1119,down,c
1120,.,c
1121,I,c
1122,think,c
1123,it,c
1124,is,c
1125,a,c
1126,great,c
1127,opportunity,c
1128,because,c
1129,it,c
1130,is,c
1131,based,c
1132,on,c
1133,fashion,c
1134,.,c
1135,We,c
1136,like,c
1137,to,c
1138,keep,c
1139,up,c
1140,with,c
1141,the,c
1142,rage,i
1143,but,c
1144,I,c
1145,think,c
1146,it,c
1147,will,c
1148,help,c
1149,those,c
1150,who,c
1151,want,c
1152,to,c
1153,become,c
1154,a,c
1155,fashion,c
1156,designer,c
1157,later,c
1158,on,c
1159,.,c
1160,I,c
1161,have,c
1162,a,c
1163,suggestion,c
1164,on,c
1165,how,c
1166,the,c
1167,programme,c
1168,could,c
1169,be,c
1170,changed,c
1171,.,c
1172,The,c
1173,shopping,c
1174,time,c
1175,could,c
1176,be,c
1177,after,c
1178,the,c
1179,show,c
1180,and,c
1181,the,c
1182,free,c
1183,time,c
1184,exchanged,i
1185,for,c
1186,the,c
1187,science,c
1188,museum,c
1189,.,c
1190,If,c
1191,we,c
1192,go,c
1193,to,c
1194,the,c
1195,show,c
1196,",",c
1197,we,c
1198,can,c
1199,do,c
1200,without,c
1201,the,c
1202,free,c
1203,time,c
1204,.,c
1205,Please,c
1206,give,c
1207,this,c
1208,your,c
1209,careful,c
1210,consideration,c
1211,..,i
1212,Yours,c
1213,sincerely,c
1214,",",c
1215,In,i
1216,a,c
1217,country,c
1218,like,c
1219,the,c
1220,UK,c
1221,",",c
1222,we,c
1223,are,c
1224,all,c
1225,bound,c
1226,to,c
1227,have,c
1228,houses,c
1229,.,c
1230,We,c
1231,either,c
1232,own,c
1233,it,c
1234,",",c
1235,or,c
1236,we,c
1237,simply,c
1238,borrow,c
1239,it,c
1240,from,c
1241,other,c
1242,people,c
1243,.,c
1244,We,c
1245,take,c
1246,our,c
1247,homes,c
1248,for,c
1249,granted,c
1250,.,c
1251,Think,c
1252,about,c
1253,the,c
1254,people,c
1255,in,c
1256,the,c
1257,poor,c
1258,countries,c
1259,!,c
1260,They,c
1261,struggle,c
1262,to,c
1263,survive,c
1264,.,c
1265,However,c
1266,",",c
1267,as,c
1268,we,c
1269,approach,c
1270,the,c
1271,future,c
1272,",",c
1273,our,c
1274,homes,c
1275,will,c
1276,start,c
1277,to,c
1278,change,c
1279,.,c
1280,Have,c
1281,you,c
1282,ever,c
1283,thought,c
1284,about,c
1285,how,c
1286,the,c
1287,changes,c
1288,will,c
1289,affect,c
1290,our,c
1291,lives,c
1292,?,c
1293,I,c
1294,doubt,c
1295,it,c
1296,.,c
1297,There,c
1298,will,c
1299,be,c
1300,lots,c
1301,of,c
1302,differences,c
1303,in,c
1304,our,c
1305,homes,c
1306,of,the
1307,future,c
1308,from,c
1309,our,c
1310,homes,c
1311,now,c
1312,",",c
1313,but,c
1314,there,c
1315,may,c
1316,also,c
1317,be,c
1318,a,c
1319,lot,c
1320,of,c
1321,similarities,c
1322,.,c
1323,For,c
1324,one,c
1325,",",c
1326,the,c
1327,future,c
1328,homes,c
1329,might,c
1330,not,c
1331,be,c
1332,built,c
1333,out,c
1334,of,c
1335,bricks,c
1336,at,c
1337,all,c
1338,!,c
1339,It,c
1340,may,c
1341,be,c
1342,built,c
1343,out,c
1344,of,c
1345,a,c
1346,stronger,c
1347,substance,c
1348,or,c
1349,a,c
1350,more,c
1351,attractive,c
1352,one,c
1353,",",c
1354,such,c
1355,as,c
1356,glass,c
1357,.,c
1358,Non,c
1359,-,c
1360,breakable,c
1361,glass,c
1362,.,c
1363,Also,c
1364,",",c
1365,due,c
1366,to,c
1367,global,c
1368,warming,c
1369,",",c
1370,sea,c
1371,levels,c
1372,might,c
1373,rise,c
1374,and,c
1375,risk,c
1376,of,c
1377,flooding,c
1378,will,c
1379,also,c
1380,rise,c
1381,.,c
1382,Therefore,c
1383,",",c
1384,houses,c
1385,will,c
1386,be,c
1387,built,c
1388,on,c
1389,high,c
1390,supports,c
1391,.,c
1392,All,c
1393,domestic,c
1394,appliances,c
1395,such,c
1396,as,c
1397,showers,c
1398,",",c
1399,kettles,c
1400,",",c
1401,lights,c
1402,",",c
1403,TV,c
1404,and,c
1405,curtains,c
1406,may,c
1407,be,c
1408,voice,c
1409,activated,c
1410,.,c
1411,Incredibly,c
1412,high,c
1413,security,c
1414,will,c
1415,prevent,c
1416,robbery,c
1417,.,c
1418,The,c
1419,future,c
1420,homes,c
1421,will,c
1422,also,c
1423,have,c
1424,many,c
1425,similarities,c
1426,",",c
1427,such,c
1428,as,c
1429,having,c
1430,a,c
1431,separate,c
1432,bathroom,c
1433,",",c
1434,and,c
1435,not,c
1436,having,c
1437,one,c
1438,in,c
1439,a,c
1440,bedroom,c
1441,",",c
1442,or,c
1443,having,c
1444,two,c
1445,floors,c
1446,or,c
1447,having,c
1448,garages,c
1449,.,c
1450,It,c
1451,has,c
1452,been,c
1453,a,c
1454,pleasure,c
1455,sharing,c
1456,my,c
1457,thoughts,c
1458,with,c
1459,you,c
1460,.,c
1461,What,c
1462,do,c
1463,you,c
1464,think,c
1465,will,c
1466,happen,c
1467,in,c
1468,the,c
1469,future,c
1470,?,c
1471,Dear,c
1472,Mrs.,c
1473,Jane,c
1474,Clark,c
1475,",",c
1476,Recently,c
1477,I,c
1478,was,c
1479,at,c
1480,the,c
1481,annual,c
1482,international,c
1483,arts,c
1484,festival,c
1485,",",c
1486,that,c
1487,you,c
1488,organized,c
1489,.,c
1490,I,c
1491,'m,c
1492,writing,c
1493,this,c
1494,letter,c
1495,to,c
1496,thank,c
1497,you,c
1498,for,c
1499,giving,c
1500,a,c
1501,possibility,c
1502,to,c
1503,know,c
1504,more,c
1505,about,c
1506,modern,c
1507,art,c
1508,.,c
1509,I,c
1510,think,c
1511,",",c
1512,it,c
1513,is,c
1514,a,c
1515,wonderful,c
1516,idea,c
1517,to,c
1518,organize,c
1519,such,c
1520,festivals,c
1521,each,c
1522,year,c
1523,",",c
1524,because,c
1525,it,c
1526,is,c
1527,very,c
1528,interesting,c
1529,to,c
1530,learn,c
1531,some,c
1532,news,c
1533,about,c
1534,life,c
1535,in,c
1536,other,c
1537,countries,c
1538,.,c
1539,Unfortunately,c
1540,",",c
1541,only,c
1542,six,c
1543,countries,c
1544,were,c
1545,represented,c
1546,this,c
1547,year,c
1548,at,c
1549,the,c
1550,festival,c
1551,",",c
1552,but,c
1553,I,c
1554,hope,c
1555,that,c
1556,soon,c
1557,there,c
1558,would,c
1559,be,c
1560,much,c
1561,more,c
1562,of,c
1563,them,c
1564,.,c
1565,I,c
1566,extremely,c
1567,liked,c
1568,all,c
1569,concerts,c
1570,",",c
1571,shows,c
1572,",",c
1573,exhibitions,c
1574,",",c
1575,but,c
1576,why,c
1577,there,c
1578,were,c
1579,n't,c
1580,any,c
1581,photograph,c
1582,exhibitions,c
1583,?,c
1584,I,c
1585,think,c
1586,",",c
1587,you,c
1588,should,c
1589,make,c
1590,some,c
1591,next,c
1592,year,c
1593,.,c
1594,Then,c
1595,",",c
1596,I,c
1597,want,c
1598,to,c
1599,mark,i
1600,",",c
1601,that,c
1602,concert,c
1603,halls,c
1604,were,c
1605,too,c
1606,small,c
1607,",",c
1608,that,c
1609,is,c
1610,why,c
1611,they,c
1612,were,c
1613,overcrowded,c
1614,during,c
1615,some,c
1616,concerts,c
1617,.,c
1618,Then,c
1619,",",c
1620,I,c
1621,want,c
1622,to,c
1623,say,c
1624,",",c
1625,that,c
1626,plays,c
1627,and,c
1628,films,c
1629,were,c
1630,exellent,i
1631,",",c
1632,but,c
1633,it,c
1634,was,c
1635,n't,c
1636,enough,c
1637,of,c
1638,them,c
1639,for,c
1640,me,c
1641,.,c
1642,May,c
1643,be,c
1644,you,c
1645,should,c
1646,make,c
1647,more,c
1648,next,c
1649,year,c
1650,?,c
1651,And,c
1652,at,c
1653,the,c
1654,end,c
1655,",",c
1656,my,c
1657,opinion,c
1658,is,c
1659,that,c
1660,one,c
1661,weekend,c
1662,ticket,c
1663,for,c
1664,all,c
1665,events,c
1666,is,c
1667,a,c
1668,great,c
1669,idea,c
1670,",",c
1671,because,c
1672,you,c
1673,do,c
1674,n't,c
1675,have,c
1676,to,c
1677,stay,c
1678,in,c
1679,queues,c
1680,to,c
1681,buy,c
1682,a,c
1683,ticket,c
1684,for,c
1685,a,c
1686,show,c
1687,",",c
1688,you,c
1689,want,c
1690,to,c
1691,go,c
1692,to,c
1693,.,c
1694,Yours,c
1695,sincerely,c
1696,",",c
1697,Dear,c
1698,Lucia,c
1699,",",c
1700,I,c
1701,was,c
1702,very,c
1703,pleased,c
1704,to,c
1705,receive,c
1706,your,c
1707,letter,c
1708,.,c
1709,You,c
1710,asked,c
1711,",",c
1712,if,c
1713,there,c
1714,are,c
1715,some,c
1716,school,c
1717,rules,c
1718,in,c
1719,my,c
1720,country,c
1721,.,c
1722,As,c
1723,you,c
1724,know,c
1725,",",c
1726,I,c
1727,'m,c
1728,studying,c
1729,at,c
1730,the,c
1731,private,c
1732,Academy,c
1733,",",c
1734,so,c
1735,the,c
1736,rules,c
1737,in,c
1738,my,c
1739,institute,c
1740,are,c
1741,different,c
1742,from,c
1743,the,c
1744,rules,c
1745,in,c
1746,state,c
1747,institutes,c
1748,.,c
1749,I,c
1750,'ll,c
1751,give,c
1752,you,c
1753,an,c
1754,example,c
1755,.,c
1756,In,c
1757,our,c
1758,Acadamy,i
1759,we,c
1760,are,c
1761,not,c
1762,allowed,c
1763,to,c
1764,smoke,c
1765,.,c
1766,The,c
1767,fine,c
1768,for,c
1769,smoking,c
1770,on,c
1771,the,c
1772,Academy,c
1773,is,i
1774,territory,c
1775,is,c
1776,100,c
1777,dollars,c
1778,.,c
1779,So,c
1780,nobody,c
1781,smokes,c
1782,there,c
1783,.,c
1784,I,c
1785,do,c
1786,n't,c
1787,smoke,c
1788,",",c
1789,so,c
1790,I,c
1791,do,c
1792,n't,c
1793,care,c
1794,about,c
1795,this,c
1796,rule,c
1797,.,c
1798,But,c
1799,some,c
1800,of,c
1801,my,c
1802,friends,c
1803,really,c
1804,would,c
1805,like,c
1806,to,c
1807,change,c
1808,it,c
1809,.,c
1810,You,c
1811,also,c
1812,wanted,c
1813,to,c
1814,know,c
1815,about,i
1816,what,c
1817,I,c
1818,'m,c
1819,allowed,c
1820,or,c
1821,not,c
1822,allowed,c
1823,to,c
1824,do,c
1825,at,c
1826,home,c
1827,.,c
1828,Well,c
1829,",",c
1830,I,c
1831,have,c
1832,rather,c
1833,modern,c
1834,parents,c
1835,",",c
1836,so,c
1837,they,c
1838,do,c
1839,n't,c
1840,prohibit,c
1841,me,c
1842,to,c
1843,go,c
1844,to,c
1845,the,c
1846,discoes,c
1847,or,c
1848,somewhere,c
1849,with,c
1850,my,c
1851,friends,c
1852,.,c
1853,The,c
1854,only,c
1855,rule,c
1856,for,c
1857,me,c
1858,at,c
1859,home,c
1860,is,c
1861,to,c
1862,walk,c
1863,out,c
1864,with,c
1865,my,c
1866,dog,c
1867,three,c
1868,times,c
1869,a,c
1870,day,c
1871,.,c
1872,I,c
1873,hope,c
1874,it,c
1875,was,c
1876,interesting,c
1877,for,c
1878,you,c
1879,to,c
1880,know,c
1881,about,c
1882,the,c
1883,rules,c
1884,in,c
1885,my,c
1886,life,c
1887,.,c
1888,Look,c
1889,forward,c
1890,to,c
1891,hearing,c
1892,from,c
1893,you,c
1894,",",c
1895,Dear,c
1896,Sir,c
1897,/,c
1898,Madam,c
1899,",",c
1900,I,c
1901,was,i
1902,to,c
1903,Circle,c
1904,Theatre,c
1905,to,c
1906,watch,c
1907,',c
1908,Over,c
1909,the,c
1910,rainbow,c
1911,',c
1912,musical,c
1913,show,c
1914,",",c
1915,recently,c
1916,.,c
1917,I,c
1918,was,c
1919,trully,i
1920,dissapointed,i
1921,by,c
1922,it,c
1923,.,c
1924,My,c
1925,expectations,c
1926,were,c
1927,high,c
1928,after,c
1929,I,c
1930,'ve,c
1931,read,c
1932,your,c
1933,leaflet,c
1934,in,c
1935,which,c
1936,it,c
